[2026-03-30T11:48:48.095Z] GET http://localhost:4000/_next/static/webpack/app/layout.aebf10825931bc25.hot-update.js → 200 (2ms, 1623B)
[2026-03-30T11:48:48.095Z] GET http://localhost:4000/_next/static/webpack/webpack.aebf10825931bc25.hot-update.js → 200 (2ms, 858B)
[2026-03-30T11:48:48.224Z] GET http://localhost:4000/_next/static/css/app/layout.css?v=1774871328108 → 200 (2ms, 38260B)
[2026-03-30T11:49:02.736Z] GET http://localhost:4000/dashboard?_rsc=syt8b → 200 (14ms, ?B)
[2026-03-30T11:49:02.737Z] GET http://localhost:4000/_next/static/webpack/4f442674129a7aed.webpack.hot-update.json → 200 (1ms, 44B)
[2026-03-30T11:49:02.739Z] GET http://localhost:4000/_next/static/webpack/app/layout.4f442674129a7aed.hot-update.js → 200 (1ms, 1623B)
[2026-03-30T11:49:02.739Z] GET http://localhost:4000/_next/static/webpack/webpack.4f442674129a7aed.hot-update.js → 200 (1ms, 858B)
[2026-03-30T11:49:02.764Z] GET http://localhost:4000/_next/static/css/app/layout.css?v=1774871342748 → 200 (1ms, 38260B)
[2026-03-30T11:49:08.092Z] GET http://localhost:4000/_next/static/webpack/efb114d73377cca4.webpack.hot-update.json → 200 (6ms, 65B)
[2026-03-30T11:49:08.099Z] GET http://localhost:4000/_next/static/webpack/app/layout.efb114d73377cca4.hot-update.js → 200 (2ms, 1623B)
[2026-03-30T11:49:08.099Z] GET http://localhost:4000/_next/static/webpack/webpack.efb114d73377cca4.hot-update.js → 200 (1ms, 858B)
[2026-03-30T11:49:08.271Z] GET http://localhost:4000/dashboard?_rsc=syt8b → 200 (41ms, ?B)
[2026-03-30T11:49:08.331Z] GET http://localhost:4000/_next/static/css/app/layout.css?v=1774871348308 → 200 (2ms, 38260B)
[2026-03-30T11:49:15.026Z] GET http://localhost:4000/_next/static/webpack/7730a1caf60b64cf.webpack.hot-update.json → 200 (3ms, 65B)
[2026-03-30T11:49:15.029Z] GET http://localhost:4000/_next/static/webpack/app/layout.7730a1caf60b64cf.hot-update.js → 200 (2ms, 1623B)
[2026-03-30T11:49:15.029Z] GET http://localhost:4000/_next/static/webpack/webpack.7730a1caf60b64cf.hot-update.js → 200 (2ms, 858B)
[2026-03-30T11:49:15.074Z] GET http://localhost:4000/dashboard?_rsc=syt8b → 200 (20ms, ?B)
[2026-03-30T11:49:15.114Z] GET http://localhost:4000/_next/static/css/app/layout.css?v=1774871355089 → 200 (2ms, 38260B)
[2026-03-30T11:49:20.615Z] GET http://localhost:4000/_next/static/webpack/4429255b79f8a19b.webpack.hot-update.json → 200 (4ms, 65B)
[2026-03-30T11:49:20.619Z] GET http://localhost:4000/_next/static/webpack/app/layout.4429255b79f8a19b.hot-update.js → 200 (2ms, 1623B)
[2026-03-30T11:49:20.619Z] GET http://localhost:4000/_next/static/webpack/webpack.4429255b79f8a19b.hot-update.js → 200 (1ms, 858B)
[2026-03-30T11:49:20.664Z] GET http://localhost:4000/dashboard?_rsc=syt8b → 200 (20ms, ?B)
[2026-03-30T11:49:20.709Z] GET http://localhost:4000/_next/static/css/app/layout.css?v=1774871360679 → 200 (1ms, 38260B)
[2026-03-30T11:49:26.230Z] GET http://localhost:4000/_next/static/webpack/fbcd5ba4cd449f68.webpack.hot-update.json → 200 (3ms, 44B)
[2026-03-30T11:49:26.233Z] GET http://localhost:4000/_next/static/webpack/app/layout.fbcd5ba4cd449f68.hot-update.js → 200 (2ms, 1623B)
[2026-03-30T11:49:26.233Z] GET http://localhost:4000/_next/static/webpack/webpack.fbcd5ba4cd449f68.hot-update.js → 200 (2ms, 858B)
[2026-03-30T11:49:26.269Z] GET http://localhost:4000/dashboard?_rsc=syt8b → 200 (16ms, ?B)
[2026-03-30T11:49:26.301Z] GET http://localhost:4000/_next/static/css/app/layout.css?v=1774871366283 → 200 (1ms, 38260B)
[2026-03-30T11:49:34.880Z] GET http://localhost:4000/_next/static/webpack/514a07421d46cc27.webpack.hot-update.json → 200 (4ms, 44B)
[2026-03-30T11:49:34.885Z] GET http://localhost:4000/_next/static/webpack/app/layout.514a07421d46cc27.hot-update.js → 200 (2ms, 1623B)
[2026-03-30T11:49:34.885Z] GET http://localhost:4000/_next/static/webpack/webpack.514a07421d46cc27.hot-update.js → 200 (1ms, 858B)
[2026-03-30T11:49:34.942Z] GET http://localhost:4000/dashboard?_rsc=syt8b → 200 (21ms, ?B)
